iter	Accuracy	Logloss
0	0.8181818182	0.6537211518
1	0.8237934905	0.6211170805
2	0.8170594837	0.5942390052
3	0.8294051627	0.5716039117
4	0.8294051627	0.5513285161
5	0.8361391695	0.532673394
6	0.8316498316	0.517597052
7	0.8327721661	0.505571898
8	0.8305274972	0.4944135274
9	0.8305274972	0.48311338
10	0.835016835	0.4733456384
11	0.835016835	0.4633949235
12	0.835016835	0.4561976974
13	0.8338945006	0.4501427731
14	0.8338945006	0.4433928875
15	0.8338945006	0.4380606861
16	0.8338945006	0.4328609374
17	0.835016835	0.4276924383
18	0.835016835	0.4236107355
19	0.835016835	0.4216287396
20	0.835016835	0.4174847531
21	0.835016835	0.4143997591
22	0.8372615039	0.4107914765
23	0.8372615039	0.4087100168
24	0.8372615039	0.4061189715
25	0.8372615039	0.4033347853
26	0.8372615039	0.400807116
27	0.8372615039	0.3991898275
28	0.8372615039	0.397285157
29	0.8372615039	0.3963973108
30	0.8372615039	0.3950679179
31	0.8395061728	0.3933553658
32	0.8361391695	0.391844963
33	0.8383838384	0.3906300475
34	0.8428731762	0.3892859098
35	0.8417508418	0.3878568797
36	0.8417508418	0.3864518404
37	0.8462401796	0.3852083352
38	0.8484848485	0.3838804567
39	0.8484848485	0.3823048813
40	0.8518518519	0.3808047696
41	0.8507295174	0.3797176948
42	0.8507295174	0.3790056743
43	0.8507295174	0.37800895
44	0.8507295174	0.376944267
45	0.8529741863	0.3761198897
46	0.8518518519	0.3744862503
47	0.8518518519	0.3738077283
48	0.8552188552	0.3731405466
49	0.8552188552	0.3719696158
50	0.8552188552	0.3711139585
51	0.8563411897	0.3703856827
52	0.8563411897	0.3694201134
53	0.8552188552	0.368574087
54	0.8552188552	0.3671376445
55	0.8552188552	0.366646743
56	0.8552188552	0.3661301861
57	0.8552188552	0.3655995336
58	0.8563411897	0.3646706062
59	0.8563411897	0.3640172594
60	0.8563411897	0.3636309652
61	0.8563411897	0.3631954951
62	0.8563411897	0.3626322979
63	0.8574635241	0.3622077504
64	0.8574635241	0.3615737321
65	0.8574635241	0.3612831876
66	0.8574635241	0.3607660301
67	0.8563411897	0.3601497252
68	0.8563411897	0.3597297364
69	0.8574635241	0.3591149381
70	0.8574635241	0.358872934
71	0.8574635241	0.3581824526
72	0.8574635241	0.3579948737
73	0.8574635241	0.3571622743
74	0.8574635241	0.3563667803
75	0.8574635241	0.3561793839
76	0.8574635241	0.3558340998
77	0.8574635241	0.3554621047
78	0.8574635241	0.3549955132
79	0.8574635241	0.3544914738
80	0.8574635241	0.3540985243
81	0.8585858586	0.3531134748
82	0.8585858586	0.3526722096
83	0.8585858586	0.3521235471
84	0.8585858586	0.3518935765
85	0.8585858586	0.3515812621
86	0.8585858586	0.3512077553
87	0.8585858586	0.3510322158
88	0.8585858586	0.3507540764
89	0.8585858586	0.3502131277
90	0.8585858586	0.3498863571
91	0.8585858586	0.3496553097
92	0.8585858586	0.3493571383
93	0.8585858586	0.349216924
94	0.8585858586	0.3489299215
95	0.8585858586	0.348673848
96	0.8585858586	0.3477150263
97	0.8585858586	0.3474638558
98	0.861952862	0.3466900358
99	0.861952862	0.3461838707
