iter	Passed	Remaining
0	1	178
1	3	160
2	4	133
3	5	135
4	7	143
5	9	142
6	10	133
7	12	140
8	14	144
9	15	141
10	17	140
11	19	139
12	20	134
13	21	133
14	23	132
15	25	131
16	28	137
17	29	136
18	31	134
19	32	131
20	34	130
21	35	127
22	37	124
23	38	123
24	42	128
25	44	126
26	46	124
27	47	122
28	49	120
29	50	118
30	52	116
31	54	114
32	57	117
33	59	115
34	60	113
35	62	110
36	63	108
37	65	106
38	66	103
39	67	101
40	69	99
41	72	100
42	74	98
43	75	96
44	77	94
45	78	92
46	79	90
47	81	87
48	82	85
49	83	83
50	86	82
51	88	81
52	89	79
53	91	77
54	92	75
55	94	73
56	95	72
57	97	70
58	99	68
59	101	67
60	103	66
61	104	64
62	106	62
63	107	60
64	109	58
65	111	57
66	113	55
67	116	54
68	119	53
69	120	51
70	122	50
71	123	48
72	125	46
73	127	44
74	129	43
75	132	41
76	133	39
77	135	38
78	136	36
79	138	34
80	139	32
81	141	31
82	142	29
83	145	27
84	148	26
85	149	24
86	151	22
87	152	20
88	154	19
89	156	17
90	157	15
91	158	13
92	161	12
93	164	10
94	165	8
95	167	6
96	168	5
97	170	3
98	171	1
99	173	0
